FIPS,enthusiast_est,enthusiast_se,audience_est,audience_se,no_outreach_est,no_outreach_se
35031,0.169902036322134,0.043557426991617,0.321923120008245,0.114010043423116,0.508174843669621,0.082512092253027
35033,0.157697028093607,0.040803343515015,0.514145225571994,0.195839989269506,0.328157746334399,0.206921278453268
35035,0.146406954452296,0.023715943113566,0.334065914645347,0.036103137000675,0.519527130902357,0.038595286614224
35037,0.135745766145942,0.075961214495894,0.350267625311294,0.117687343396711,0.513986608542764,0.077322163573611
35039,0.183947197897246,0.03429983084452,0.356883518903928,0.022680172440762,0.459169283198826,0.054903260330042
35041,0.128060092220684,0.039498940483896,0.31957769456304,0.035584057597298,0.552362213216276,0.070717175996
35043,0.18892302004617,0.012613072815108,0.356691037046935,0.013204467273504,0.454385942906895,0.01884183688189
35045,0.135563292932392,0.024626109666063,0.292901576072194,0.038811505436806,0.571535130995414,0.06104135507086
35047,0.204779509640271,0.056057719482496,0.367855783354325,0.025712146574828,0.427364707005404,0.048026314848685
35049,0.260488250430105,0.036316773780726,0.351482297385047,0.037693590805063,0.388029452184847,0.042540690633178
35051,0.202400138548,0.082984035595272,0.313639437197598,0.142787585551496,0.483960424254401,0.073234443663254
35053,0.187388718465632,0.042306665308115,0.360993239518829,0.046595673571159,0.451618042015539,0.055244079021093
35055,0.219170944602869,0.08239785109609,0.373497638461361,0.018624663731356,0.40733141693577,0.070016919562334
35057,0.139102675747676,0.026729688381467,0.284470081740617,0.073116240701646,0.576427242511707,0.080054730783908
35059,0.128783692855385,0.074632980782662,0.338651043712592,0.06686547917225,0.532565263432023,0.048149023910083
35061,0.148031536988074,0.027310642463043,0.31431280551936,0.04469439667272,0.537655657492567,0.045309506776653
36001,0.259895461791311,0.016773646795234,0.368861151855462,0.012517395454012,0.371243386353227,0.026057211595294
36003,0.127443662300883,0.029619085890775,0.353513329858869,0.021748135817733,0.519043007840248,0.038485221765475
36005,0.19210761066325,0.025879269153803,0.356603096068174,0.060236518031165,0.451289293268576,0.041312774321996
36007,0.163721259714516,0.040451145795334,0.359699668668858,0.023253770838527,0.476579071616625,0.043296359428785
36009,0.160927226520584,0.024241118898692,0.342982994090246,0.017103076650259,0.496089779389169,0.025000247048832
36011,0.152493793991796,0.023183781433949,0.338543735894713,0.018700343160073,0.50896247011349,0.03833496050055
36013,0.164001174432698,0.019639024783647,0.348198606317405,0.006494849300098,0.487800219249896,0.020826174845462
36015,0.15458050554921,0.022329998897833,0.367798639217326,0.045869099344005,0.477620855233464,0.059371673490984
36017,0.148635147562496,0.027907013872163,0.308989085503993,0.031292493827474,0.54237576693351,0.047878575143885
36019,0.187570844218315,0.037111710580374,0.328252405386442,0.099691819819476,0.484176750395243,0.065446801893632
36021,0.246007753311968,0.032756400162735,0.34462928114857,0.028433714916583,0.409362965539462,0.037100179554848
36023,0.15526847732824,0.040981943393154,0.336941956210798,0.05979238752444,0.507789566460961,0.098747806611605
36025,0.165460577251079,0.019038064806582,0.331857075363584,0.04364365206664,0.502682347385337,0.056230508109022
36027,0.197176135081634,0.036824712225931,0.33378287864576,0.058064473320831,0.469040986272607,0.089702168776992
36029,0.224130597957348,0.014069420140095,0.396832494703487,0.020310355525119,0.379036907339165,0.017509250883671
36031,0.203107247693602,0.032612658667516,0.292688748404048,0.103598820053225,0.50420400390235,0.075412085107814
36033,0.174392022633455,0.058307017963254,0.313240969351673,0.199442803810763,0.512367008014872,0.142997029734598
36035,0.163162456162681,0.024596164177649,0.293770490316248,0.02947617231922,0.543067053521071,0.033573720601187
36037,0.159800458705282,0.020031156178212,0.342823924419988,0.020606929824138,0.497375616874729,0.032444266778141
36039,0.174586072960597,0.017093476495914,0.311557841952674,0.035963743937547,0.513856085086729,0.043539234323133
36041,0.161726739346886,0.047643813766961,0.238014711530235,0.15687301576044,0.600258549122879,0.155991277566822
36043,0.18005423536362,0.020708548912022,0.318366880460354,0.022648813161638,0.501578884176026,0.033089216471911
36045,0.142691556987686,0.019065006052292,0.39930839360894,0.05432274377161,0.458000049403374,0.053933777616918
36047,0.242062023317474,0.02688120342156,0.382705031413242,0.036915267528002,0.375232945269283,0.040964543606668
36049,0.123258976674496,0.03534038732585,0.386512399869434,0.059966775516813,0.49022862345607,0.055233971784241
36051,0.155659703739836,0.026823981491094,0.339935591724874,0.034104083166161,0.504404704535291,0.055282362454036
36053,0.182249272285312,0.040507314425935,0.382125500905149,0.008203827300216,0.435625226809539,0.038024624229084
36055,0.23421291697219,0.011714640375024,0.393882225344931,0.026270360522722,0.37190485768288,0.029125703399433
36057,0.168533391511058,0.021548775200643,0.314421914583081,0.027622167915379,0.517044693905861,0.020722858164899
36059,0.268399462704565,0.0293316552217,0.3761695707339,0.018303436449073,0.355430966561536,0.036101071164024
36061,0.382792880687691,0.094800108146195,0.368457510933459,0.027219232137522,0.248749608378851,0.084649203187958
36063,0.168593898224445,0.016894977370969,0.365637567647861,0.039689320113187,0.465768534127694,0.047426356019824
36065,0.172601178874697,0.020404976152555,0.327080600423356,0.023876748250385,0.500318220701947,0.042889082844919
36067,0.211672253099787,0.026278834658881,0.425721361312391,0.033889035500217,0.362606385587822,0.018592329719605
36069,0.2217710188237,0.024478596301578,0.352073017209358,0.035706568221516,0.426155963966942,0.05976567436494
36071,0.171592020607604,0.033039542741825,0.328386331536937,0.056836932423879,0.500021647855459,0.087543837576988
36073,0.149245750562036,0.027839265396687,0.333622139432155,0.02057699499509,0.517132110005809,0.035603928428125
36075,0.138391294444901,0.026619530749929,0.345010352886003,0.012939909693711,0.516598352669096,0.033101439159036
36077,0.165772547149585,0.035113362453815,0.322466990254156,0.040263556542536,0.511760462596259,0.069760304531491
36079,0.202594459641487,0.044143728441686,0.35131403272258,0.019702023799001,0.446091507635933,0.049067862391089
36081,0.232369693212756,0.0208172999923,0.379388677274422,0.035123240180551,0.388241629512822,0.040093818679017
36083,0.208619231495263,0.031023223314789,0.313742487981541,0.076379463309018,0.477638280523196,0.103158863211175
36085,0.191178363268933,0.024537345140218,0.343559910501003,0.021865550245905,0.465261726230064,0.041178056777007
36087,0.225693089423796,0.024133634067368,0.375095795772462,0.029461064073602,0.399211114803742,0.034884726065644
36089,0.151653859717013,0.026171536746,0.416443715680839,0.050707387666564,0.431902424602148,0.029807067144172
